[i] Train : 24379
[i] Valid : 2709
[i] pred_bboxes_op : Tensor("concat:0", shape=(8, 54560, 4), dtype=float32)
[i] pred_classes_op : Tensor("concat_1:0", shape=(8, 54560, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(8, 54560, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(8, 54560, 21), dtype=float32)
[i] max_iteration : 304700
[i] decay_iteration : [152350 228525]
[i] iter : 50, loss : 180.2661, focal_loss : 125.9974, giou_loss : 0.8090, l2_reg_loss : 53.4597, train_time : 155sec
[i] iter : 100, loss : 55.8076, focal_loss : 1.7641, giou_loss : 0.6615, l2_reg_loss : 53.3820, train_time : 38sec
[i] iter : 150, loss : 55.4080, focal_loss : 1.4638, giou_loss : 0.6550, l2_reg_loss : 53.2892, train_time : 38sec
[i] iter : 200, loss : 55.1184, focal_loss : 1.3621, giou_loss : 0.5670, l2_reg_loss : 53.1893, train_time : 37sec
[i] iter : 250, loss : 54.7928, focal_loss : 1.2444, giou_loss : 0.4637, l2_reg_loss : 53.0846, train_time : 37sec
[i] iter : 300, loss : 54.6546, focal_loss : 1.2269, giou_loss : 0.4522, l2_reg_loss : 52.9755, train_time : 38sec
[i] iter : 350, loss : 54.5186, focal_loss : 1.2090, giou_loss : 0.4470, l2_reg_loss : 52.8625, train_time : 38sec
[i] iter : 400, loss : 54.3048, focal_loss : 1.1303, giou_loss : 0.4286, l2_reg_loss : 52.7459, train_time : 37sec
[i] iter : 450, loss : 54.2153, focal_loss : 1.1543, giou_loss : 0.4346, l2_reg_loss : 52.6264, train_time : 37sec
[i] iter : 500, loss : 53.9730, focal_loss : 1.0531, giou_loss : 0.4159, l2_reg_loss : 52.5041, train_time : 37sec
[i] iter : 550, loss : 53.8333, focal_loss : 1.0565, giou_loss : 0.3974, l2_reg_loss : 52.3794, train_time : 38sec
[i] iter : 600, loss : 53.6754, focal_loss : 1.0311, giou_loss : 0.3919, l2_reg_loss : 52.2524, train_time : 38sec
[i] iter : 650, loss : 53.5177, focal_loss : 1.0085, giou_loss : 0.3858, l2_reg_loss : 52.1235, train_time : 37sec
[i] iter : 700, loss : 53.3301, focal_loss : 0.9663, giou_loss : 0.3711, l2_reg_loss : 51.9926, train_time : 38sec
[i] iter : 750, loss : 53.2526, focal_loss : 1.0200, giou_loss : 0.3724, l2_reg_loss : 51.8602, train_time : 38sec
[i] iter : 800, loss : 53.0000, focal_loss : 0.9129, giou_loss : 0.3609, l2_reg_loss : 51.7262, train_time : 38sec
[i] iter : 850, loss : 52.9781, focal_loss : 1.0163, giou_loss : 0.3711, l2_reg_loss : 51.5907, train_time : 38sec
[i] iter : 900, loss : 52.9381, focal_loss : 1.1101, giou_loss : 0.3720, l2_reg_loss : 51.4560, train_time : 38sec
[i] iter : 950, loss : 52.6598, focal_loss : 0.9784, giou_loss : 0.3623, l2_reg_loss : 51.3191, train_time : 38sec
[i] iter : 1000, loss : 52.4787, focal_loss : 0.9380, giou_loss : 0.3601, l2_reg_loss : 51.1807, train_time : 38sec
[i] iter : 1050, loss : 52.3188, focal_loss : 0.9179, giou_loss : 0.3596, l2_reg_loss : 51.0414, train_time : 38sec
[i] iter : 1100, loss : 52.1103, focal_loss : 0.8578, giou_loss : 0.3517, l2_reg_loss : 50.9008, train_time : 38sec
